treatment_hcp_id,control_hcp_id,event_id,pre_treatment_rx,post_treatment_rx,pre_control_rx,post_control_rx,incremental_lift,incremental_lift_pct
1040239976,1199976907,EVT-0001,2142.0,2268.0,1487.0,1556.0,57.0,2.661064425770308
1194203331,1075683551,EVT-0001,1724.0,2036.0,1482.0,1410.0,384.0,22.2737819025522
1246066447,1279507085,EVT-0001,2218.0,2886.0,1945.0,2023.0,590.0,26.600541027953113
1282327174,1109634414,EVT-0001,2696.0,2982.0,2893.0,2671.0,508.0,18.84272997032641
1393791409,1337606333,EVT-0001,1698.0,1874.0,1033.0,810.0,399.0,23.498233215547703
1519182780,1696806755,EVT-0001,1029.0,1295.0,1220.0,1120.0,366.0,35.56851311953353
1595774286,1187084813,EVT-0001,2321.0,3245.0,1771.0,1772.0,923.0,39.76734166307626
1616839134,1602648309,EVT-0001,3696.0,5353.0,2997.0,3770.0,884.0,23.91774891774892
1690348028,1925493359,EVT-0001,1402.0,1525.0,556.0,586.0,93.0,6.633380884450784
1944079924,1647196991,EVT-0001,2668.0,4176.0,2802.0,3305.0,1005.0,37.668665667166415
1993874985,1273912869,EVT-0001,2522.0,2871.0,1750.0,2079.0,20.0,0.7930214115781126
1040239976,1273912869,EVT-0002,738.0,772.0,817.0,888.0,-37.0,-5.013550135501355
1163199601,1921646299,EVT-0002,815.0,939.0,777.0,847.0,54.0,6.625766871165645
1246066447,1279507085,EVT-0002,1154.0,1317.0,838.0,1166.0,-165.0,-14.298093587521663
1264333323,1209566128,EVT-0002,1076.0,1605.0,1120.0,1260.0,389.0,36.152416356877325
1334266016,1903798589,EVT-0002,1336.0,1637.0,1193.0,1378.0,116.0,8.682634730538922
1335670091,1436505063,EVT-0002,1526.0,1894.0,1238.0,1711.0,-105.0,-6.8807339449541285
1352578078,1113953065,EVT-0002,755.0,930.0,723.0,720.0,178.0,23.576158940397352
1361521440,1768225918,EVT-0002,589.0,771.0,1053.0,1148.0,87.0,14.770797962648558
1394609428,1012264374,EVT-0002,1805.0,2551.0,1452.0,1726.0,472.0,26.14958448753463
1413519731,1989798412,EVT-0002,2572.0,3923.0,2259.0,2287.0,1323.0,51.43856920684292
