treatment_hcp_id,control_hcp_id,event_id,pre_treatment_rx,post_treatment_rx,pre_control_rx,post_control_rx,incremental_lift,incremental_lift_pct
1040239976,1435949049,EVT-0001,2142.0,2268.0,2173.0,2698.0,-399.0,-18.627450980392158
1194203331,1643343233,EVT-0001,1724.0,2036.0,1570.0,1814.0,68.0,3.944315545243619
1282327174,1775551348,EVT-0001,2696.0,2982.0,2676.0,2530.0,432.0,16.023738872403563
1393791409,1187084813,EVT-0001,1698.0,1874.0,1771.0,1772.0,175.0,10.306242638398116
1519182780,1337606333,EVT-0001,1029.0,1295.0,1033.0,810.0,489.0,47.521865889212826
1690348028,1390939977,EVT-0001,1402.0,1525.0,1435.0,1714.0,-156.0,-11.126961483594865
1040239976,1602648309,EVT-0002,738.0,772.0,752.0,990.0,-204.0,-27.64227642276423
1163199601,1081031506,EVT-0002,815.0,939.0,808.0,873.0,59.0,7.2392638036809815
1246066447,1892897319,EVT-0002,1154.0,1317.0,1265.0,1461.0,-33.0,-2.859618717504333
1264333323,1099946885,EVT-0002,1076.0,1605.0,1109.0,1132.0,506.0,47.026022304832715
1334266016,1812123887,EVT-0002,1336.0,1637.0,1350.0,1621.0,30.0,2.245508982035928
1335670091,1566888198,EVT-0002,1526.0,1894.0,1515.0,1635.0,248.0,16.25163826998689
1352578078,1132792726,EVT-0002,755.0,930.0,770.0,759.0,186.0,24.635761589403973
1361521440,1413202163,EVT-0002,589.0,771.0,557.0,590.0,149.0,25.29711375212224
1394609428,1305686507,EVT-0002,1805.0,2551.0,1802.0,1847.0,701.0,38.83656509695291
1425610817,1240393805,EVT-0002,320.0,409.0,330.0,372.0,47.0,14.6875
1456207657,1862986803,EVT-0002,1020.0,1768.0,1034.0,943.0,839.0,82.25490196078431
1511022174,1812815243,EVT-0002,903.0,1217.0,912.0,1504.0,-278.0,-30.78626799557032
1520551320,1025231352,EVT-0002,1015.0,1336.0,1093.0,1201.0,213.0,20.985221674876847
1592062677,1464676570,EVT-0002,1004.0,1440.0,973.0,816.0,593.0,59.06374501992032
1706991829,1551107307,EVT-0002,1537.0,1748.0,1524.0,1967.0,-232.0,-15.09433962264151
1710163217,1885189138,EVT-0002,991.0,1299.0,1011.0,1127.0,192.0,19.374369323915236
1717519684,1801662945,EVT-0002,949.0,1052.0,937.0,1006.0,34.0,3.5827186512118017
1725623817,1289174306,EVT-0002,1077.0,1525.0,1121.0,1140.0,429.0,39.83286908077994
1742100898,1381937048,EVT-0002,305.0,335.0,369.0,385.0,14.0,4.590163934426229
1785764022,1486382629,EVT-0002,1156.0,1230.0,1128.0,1061.0,141.0,12.197231833910035
1811081532,1242598583,EVT-0002,1258.0,1400.0,1270.0,1185.0,227.0,18.044515103338632
1927430854,1489598965,EVT-0002,1383.0,2122.0,1378.0,1556.0,561.0,40.563991323210416
1993367014,1341720393,EVT-0002,902.0,968.0,761.0,644.0,183.0,20.288248337028826
