treatment_hcp_id,control_hcp_id,event_id,pre_treatment_rx,post_treatment_rx,pre_control_rx,post_control_rx,incremental_lift,incremental_lift_pct
1264333323,1209566128,EVT-0002,1076.0,1605.0,1120.0,1260.0,389.0,36.152416356877325
1335670091,1848624494,EVT-0002,1526.0,1894.0,1384.0,1419.0,333.0,21.82175622542595
1352578078,1831183839,EVT-0002,755.0,930.0,740.0,605.0,310.0,41.05960264900662
1456207657,1216575070,EVT-0002,1020.0,1768.0,1001.0,1136.0,613.0,60.09803921568627
1511022174,1297280590,EVT-0002,903.0,1217.0,876.0,1007.0,183.0,20.26578073089701
1520551320,1598661571,EVT-0002,1015.0,1336.0,1095.0,1211.0,205.0,20.19704433497537
1592062677,1204261733,EVT-0002,1004.0,1440.0,1103.0,954.0,585.0,58.266932270916335
1811081532,1242598583,EVT-0002,1258.0,1400.0,1270.0,1185.0,227.0,18.044515103338632
1927430854,1838439200,EVT-0002,1383.0,2122.0,1355.0,1677.0,417.0,30.151843817787416
1050506165,1782341873,EVT-0003,1361.0,1902.0,1415.0,1390.0,566.0,41.58706833210874
1229022169,1731313338,EVT-0003,745.0,967.0,725.0,616.0,331.0,44.42953020134228
1352578078,1293528836,EVT-0003,1957.0,2109.0,1910.0,1804.0,258.0,13.183444047010731
1449331358,1474100561,EVT-0003,796.0,871.0,843.0,738.0,180.0,22.613065326633166
1782077311,1831183839,EVT-0003,893.0,869.0,912.0,801.0,87.0,9.742441209406495
1867204764,1081238747,EVT-0003,1642.0,2230.0,1702.0,1869.0,421.0,25.6394640682095
1880717263,1058647219,EVT-0003,1779.0,2195.0,1758.0,2043.0,131.0,7.363687464867903
1964572899,1134509243,EVT-0003,804.0,831.0,797.0,1097.0,-273.0,-33.95522388059701
1011940271,1708639657,EVT-0004,1149.0,1282.0,1165.0,1059.0,239.0,20.800696257615318
1107038659,1758794279,EVT-0004,2101.0,2845.0,2087.0,2592.0,239.0,11.375535459305093
1324722952,1333043895,EVT-0004,1296.0,1546.0,1323.0,1242.0,331.0,25.540123456790127
1330156328,1740626134,EVT-0004,1125.0,1422.0,1213.0,1217.0,293.0,26.04444444444444
1423753536,1299832539,EVT-0004,1691.0,2071.0,1769.0,1600.0,549.0,32.46599645180367
1645233598,1174145494,EVT-0004,1896.0,2702.0,1886.0,2034.0,658.0,34.70464135021097
1704331150,1702446943,EVT-0004,1790.0,2314.0,1793.0,1629.0,688.0,38.435754189944134
1803502636,1995404856,EVT-0004,1201.0,1583.0,1263.0,1389.0,256.0,21.31557035803497
1964945871,1249657408,EVT-0004,1542.0,2085.0,1458.0,1746.0,255.0,16.536964980544745
1044379984,1765233105,EVT-0005,762.0,987.0,769.0,859.0,135.0,17.716535433070867
1145899849,1752727945,EVT-0005,525.0,679.0,495.0,476.0,173.0,32.95238095238095
1194203331,1647196991,EVT-0005,1653.0,1986.0,1657.0,2408.0,-418.0,-25.287356321839084
1251567115,1540759788,EVT-0005,816.0,1023.0,739.0,780.0,166.0,20.34313725490196
1376656900,1732000645,EVT-0005,712.0,903.0,694.0,771.0,114.0,16.01123595505618
1413519731,1783823739,EVT-0005,1343.0,1654.0,1342.0,1932.0,-279.0,-20.774385703648548
1425340662,1289174306,EVT-0005,694.0,981.0,687.0,692.0,282.0,40.63400576368876
1475115246,1722898792,EVT-0005,708.0,921.0,762.0,772.0,203.0,28.67231638418079
1567742360,1873780039,EVT-0005,1224.0,1731.0,1250.0,1584.0,173.0,14.133986928104575
1639269087,1209566128,EVT-0005,1582.0,2355.0,1650.0,2042.0,381.0,24.0834386852086
1676855970,1644815767,EVT-0005,1142.0,1528.0,1140.0,1702.0,-176.0,-15.411558669001751
1683943777,1722038985,EVT-0005,1287.0,1695.0,1203.0,1575.0,36.0,2.797202797202797
1719186219,1205576824,EVT-0005,687.0,834.0,745.0,831.0,61.0,8.879184861717611
1738903891,1769333869,EVT-0005,843.0,1294.0,911.0,866.0,496.0,58.83748517200475
1880426881,1657025858,EVT-0005,826.0,1038.0,838.0,908.0,142.0,17.191283292978206
1989798412,1166368237,EVT-0005,1181.0,1759.0,1128.0,1354.0,352.0,29.805249788314985
1326516303,1852326267,EVT-0006,1131.0,1659.0,1126.0,1086.0,568.0,50.221043324491596
1362648127,1965430253,EVT-0006,1089.0,1261.0,1039.0,913.0,298.0,27.364554637281913
1785764022,1124315999,EVT-0006,776.0,899.0,805.0,744.0,184.0,23.711340206185564
1811081532,1659738110,EVT-0006,929.0,1030.0,854.0,787.0,168.0,18.083961248654468
1299418347,1897395806,EVT-0007,1717.0,2132.0,1664.0,1640.0,439.0,25.567850902737334
1332369119,1451721462,EVT-0007,1395.0,1776.0,1423.0,1463.0,341.0,24.444444444444443
1460081361,1132120993,EVT-0007,817.0,1173.0,780.0,786.0,350.0,42.83965728274174
1610177150,1722898792,EVT-0007,1708.0,2430.0,1711.0,2001.0,432.0,25.292740046838407
1672904236,1167711153,EVT-0007,1226.0,1579.0,1272.0,1531.0,94.0,7.6672104404567705
1710163217,1856406925,EVT-0007,1461.0,1673.0,1317.0,1370.0,159.0,10.882956878850102
1714292012,1836894604,EVT-0007,1263.0,1595.0,1302.0,1617.0,17.0,1.3460015835312746
1714986282,1933607412,EVT-0007,1004.0,1295.0,1020.0,1077.0,234.0,23.306772908366533
1724092733,1042224778,EVT-0007,1685.0,2569.0,1668.0,2165.0,387.0,22.967359050445104
1732000645,1701585576,EVT-0007,2195.0,3068.0,1996.0,2415.0,454.0,20.68337129840547
1814938340,1107378550,EVT-0007,1350.0,1669.0,1430.0,1567.0,182.0,13.481481481481481
1228081653,1937449878,EVT-0008,495.0,605.0,533.0,485.0,158.0,31.91919191919192
1327009084,1103232447,EVT-0008,1247.0,1481.0,1204.0,1257.0,181.0,14.514835605453088
1636376422,1925142923,EVT-0008,1251.0,1483.0,1234.0,1282.0,184.0,14.708233413269383
1674345776,1844748057,EVT-0008,1362.0,1584.0,1363.0,1402.0,183.0,13.43612334801762
1788421810,1309371148,EVT-0008,1266.0,1393.0,1259.0,1337.0,49.0,3.8704581358609795
1065870788,1190842652,EVT-0009,819.0,1285.0,883.0,1050.0,299.0,36.507936507936506
1098995024,1742974847,EVT-0009,536.0,818.0,519.0,533.0,268.0,50.0
1101185407,1356982086,EVT-0009,1115.0,1892.0,1092.0,1156.0,713.0,63.946188340807176
1133130363,1084471394,EVT-0009,1468.0,2507.0,1534.0,1750.0,823.0,56.06267029972752
1263807582,1300654963,EVT-0009,1401.0,2063.0,1475.0,1737.0,400.0,28.551034975017846
1296552940,1762971749,EVT-0009,453.0,685.0,436.0,494.0,174.0,38.41059602649007
1332369119,1494868502,EVT-0009,340.0,418.0,349.0,410.0,17.0,5.0
1413519731,1783823739,EVT-0009,1404.0,1753.0,1362.0,2077.0,-366.0,-26.06837606837607
1456299035,1815807585,EVT-0009,1556.0,2108.0,1419.0,1941.0,30.0,1.9280205655526992
1481247389,1489598965,EVT-0009,1884.0,2604.0,1705.0,1838.0,587.0,31.157112526539276
1484724632,1261377760,EVT-0009,821.0,1002.0,846.0,955.0,72.0,8.76979293544458
1547244776,1417682113,EVT-0009,430.0,573.0,460.0,372.0,231.0,53.72093023255814
1552813903,1665478461,EVT-0009,657.0,1056.0,705.0,990.0,114.0,17.35159817351598
1567742360,1873780039,EVT-0009,1267.0,1789.0,1257.0,1644.0,135.0,10.655090765588003
1639269087,1418997171,EVT-0009,1520.0,2315.0,1567.0,1944.0,418.0,27.500000000000004
1740047711,1838439200,EVT-0009,986.0,1302.0,984.0,1331.0,-31.0,-3.1440162271805274
1896554999,1657035808,EVT-0009,1184.0,1664.0,1231.0,1388.0,323.0,27.280405405405407
1124726435,1316743925,EVT-0010,2200.0,3240.0,2043.0,2730.0,353.0,16.045454545454547
1124890801,1418997171,EVT-0010,1312.0,1701.0,1341.0,1643.0,87.0,6.63109756097561
1132120993,1167711153,EVT-0010,675.0,711.0,664.0,684.0,16.0,2.3703703703703702
1198262952,1536141264,EVT-0010,1116.0,1266.0,1094.0,1380.0,-136.0,-12.186379928315413
1299418347,1350739367,EVT-0010,570.0,602.0,552.0,519.0,65.0,11.403508771929824
1423152481,1181854898,EVT-0010,1689.0,2273.0,1652.0,1624.0,612.0,36.234458259325045
1552813903,1747032997,EVT-0010,1513.0,2292.0,1507.0,1893.0,393.0,25.974884335756776
1594466975,1028050239,EVT-0010,637.0,779.0,624.0,562.0,204.0,32.025117739403456
1714986282,1185877283,EVT-0010,1005.0,1091.0,979.0,1094.0,-29.0,-2.8855721393034823
1768831921,1775551348,EVT-0010,527.0,614.0,555.0,518.0,124.0,23.52941176470588
1812815243,1271768685,EVT-0010,979.0,1545.0,1033.0,1389.0,210.0,21.450459652706844
1969108517,1934829601,EVT-0010,1302.0,1439.0,1275.0,1412.0,0.0,0.0
1124726435,1316743925,EVT-0011,2200.0,3240.0,2043.0,2730.0,353.0,16.045454545454547
1362560363,1950588461,EVT-0011,1126.0,1360.0,1090.0,1093.0,231.0,20.515097690941385
1475115246,1743431961,EVT-0011,719.0,1035.0,666.0,601.0,381.0,52.99026425591099
1552813903,1747032997,EVT-0011,1513.0,2292.0,1507.0,1893.0,393.0,25.974884335756776
1595774286,1390939977,EVT-0011,1197.0,1384.0,1286.0,1488.0,-15.0,-1.2531328320802004
1616418756,1769764832,EVT-0011,1076.0,1235.0,1034.0,1095.0,98.0,9.107806691449815
1672904236,1167711153,EVT-0011,702.0,782.0,664.0,684.0,60.0,8.547008547008547
1683943777,1577953643,EVT-0011,699.0,918.0,753.0,761.0,211.0,30.185979971387695
1714986282,1185877283,EVT-0011,1005.0,1091.0,979.0,1094.0,-29.0,-2.8855721393034823
1724092733,1056679651,EVT-0011,1159.0,1468.0,1105.0,1379.0,35.0,3.019844693701467
1725623817,1166368237,EVT-0011,1137.0,1563.0,1190.0,1163.0,453.0,39.84168865435356
1746046261,1174145494,EVT-0011,1041.0,1078.0,995.0,1093.0,-61.0,-5.859750240153699
1768831921,1775551348,EVT-0011,527.0,614.0,555.0,518.0,124.0,23.52941176470588
1856406925,1746587884,EVT-0011,810.0,1046.0,825.0,844.0,217.0,26.79012345679012
1964945871,1730655531,EVT-0011,1096.0,1287.0,1028.0,1029.0,190.0,17.335766423357665
1074076039,1751172259,EVT-0012,1890.0,2471.0,1865.0,1679.0,767.0,40.58201058201058
1123148250,1631526641,EVT-0012,1159.0,1403.0,1254.0,1314.0,184.0,15.875754961173424
1332369119,1451721462,EVT-0012,1347.0,1817.0,1433.0,1507.0,396.0,29.398663697104677
1551962891,1057623450,EVT-0012,486.0,522.0,523.0,516.0,43.0,8.847736625514404
1648553570,1750236147,EVT-0012,1298.0,2000.0,1296.0,1649.0,349.0,26.887519260400616
1655321622,1871372714,EVT-0012,1663.0,2106.0,1507.0,1692.0,258.0,15.514131088394468
1683943777,1009179924,EVT-0012,1792.0,2088.0,1731.0,1945.0,82.0,4.575892857142857
1722038985,1732914373,EVT-0012,1096.0,1440.0,1177.0,1322.0,199.0,18.15693430656934
1191545544,1488515010,EVT-0013,1671.0,2144.0,1587.0,1701.0,359.0,21.484141232794734
1268222167,1849328657,EVT-0013,1511.0,1905.0,1528.0,1544.0,378.0,25.01654533421575
1300654963,1102089657,EVT-0013,997.0,1430.0,1040.0,1073.0,400.0,40.12036108324975
1311764207,1287287258,EVT-0013,1773.0,2453.0,1885.0,2505.0,60.0,3.3840947546531304
1418997171,1877046932,EVT-0013,2465.0,3220.0,2347.0,2667.0,435.0,17.647058823529413
1436505063,1216575070,EVT-0013,2236.0,2857.0,2332.0,2972.0,-19.0,-0.8497316636851521
1456299035,1174238463,EVT-0013,1311.0,1463.0,1288.0,1415.0,25.0,1.9069412662090008
1481247389,1892083019,EVT-0013,2036.0,2109.0,1928.0,2200.0,-199.0,-9.774066797642437
1567742360,1036327983,EVT-0013,791.0,988.0,813.0,912.0,98.0,12.389380530973451
1639269087,1099946885,EVT-0013,1109.0,1444.0,1137.0,1174.0,298.0,26.871055004508566
1707435529,1084919582,EVT-0013,1848.0,2621.0,1933.0,2595.0,111.0,6.0064935064935066
1803233885,1523498065,EVT-0013,1419.0,2055.0,1549.0,1949.0,236.0,16.631430584918956
1123148250,1631526641,EVT-0014,1219.0,1419.0,1228.0,1325.0,103.0,8.44954881050041
1169238601,1279255164,EVT-0014,1418.0,1777.0,1367.0,1647.0,79.0,5.571227080394922
1299418347,1331020234,EVT-0014,1811.0,2307.0,1963.0,2343.0,116.0,6.405300938707896
1551962891,1057623450,EVT-0014,513.0,544.0,504.0,526.0,9.0,1.7543859649122806
1599978586,1120914548,EVT-0014,1625.0,2140.0,1635.0,1914.0,236.0,14.523076923076921
1722038985,1732914373,EVT-0014,1137.0,1599.0,1185.0,1330.0,317.0,27.880386983289355
1787619711,1078096579,EVT-0014,2543.0,4043.0,2315.0,2306.0,1509.0,59.33936295713724
1084919582,1080672524,EVT-0015,2047.0,2620.0,2097.0,2637.0,33.0,1.612115290669272
1124890801,1316743925,EVT-0015,3058.0,3470.0,2967.0,4193.0,-814.0,-26.618705035971225
1133130363,1058325303,EVT-0015,1784.0,2306.0,1696.0,1764.0,454.0,25.448430493273545
1166368237,1689059347,EVT-0015,1246.0,1773.0,1247.0,1522.0,252.0,20.224719101123593
1241711534,1240393805,EVT-0015,881.0,993.0,905.0,1220.0,-203.0,-23.04199772985244
1423152481,1815807585,EVT-0015,2505.0,3108.0,2560.0,3669.0,-506.0,-20.199600798403196
1456299035,1174238463,EVT-0015,1336.0,1432.0,1339.0,1480.0,-45.0,-3.3682634730538923
1481247389,1892083019,EVT-0015,1999.0,2235.0,1855.0,2222.0,-131.0,-6.55327663831916
1489598965,1180932224,EVT-0015,2494.0,3072.0,2376.0,3473.0,-519.0,-20.809943865276665
1523681389,1275443434,EVT-0015,1335.0,1776.0,1332.0,1343.0,430.0,32.20973782771536
1526669415,1908168895,EVT-0015,1297.0,1699.0,1237.0,1280.0,359.0,27.679259830377795
1567742360,1036327983,EVT-0015,843.0,990.0,809.0,905.0,51.0,6.049822064056939
1613561947,1181854898,EVT-0015,1678.0,2623.0,1731.0,2445.0,231.0,13.766388557806913
1639269087,1099946885,EVT-0015,1146.0,1497.0,1130.0,1173.0,308.0,26.876090750436298
1747032997,1102089657,EVT-0015,1126.0,1725.0,1050.0,1060.0,589.0,52.30905861456483
1848624494,1297280590,EVT-0015,1686.0,2048.0,1759.0,2531.0,-410.0,-24.31791221826809
1955620046,1997693654,EVT-0015,1663.0,2760.0,1640.0,1647.0,1090.0,65.54419723391462
1018018261,1665478461,EVT-0016,2157.0,2985.0,2192.0,2959.0,61.0,2.8280018544274457
1084471394,1546151204,EVT-0016,1463.0,1681.0,1467.0,1994.0,-309.0,-21.120984278879014
1101185407,1832506087,EVT-0016,3135.0,3793.0,3434.0,5672.0,-1580.0,-50.398724082934606
1145899849,1937514325,EVT-0016,2065.0,2177.0,1897.0,2566.0,-557.0,-26.973365617433416
1180932224,1489598965,EVT-0016,2376.0,3473.0,2494.0,3072.0,519.0,21.843434343434343
1271463741,1939052563,EVT-0016,894.0,871.0,928.0,903.0,2.0,0.22371364653243847
1335670091,1523681389,EVT-0016,1480.0,1521.0,1335.0,1776.0,-400.0,-27.027027027027028
1423152481,1363342464,EVT-0016,2505.0,3108.0,2266.0,2896.0,-27.0,-1.0778443113772456
1456299035,1174238463,EVT-0016,1336.0,1432.0,1339.0,1480.0,-45.0,-3.3682634730538923
1523498065,1613561947,EVT-0016,1575.0,1968.0,1678.0,2623.0,-552.0,-35.04761904761905
1557944620,1134632102,EVT-0016,2205.0,3141.0,2395.0,2455.0,876.0,39.72789115646258
1567742360,1036327983,EVT-0016,843.0,990.0,809.0,905.0,51.0,6.049822064056939
1686880901,1138281740,EVT-0016,1236.0,1527.0,1223.0,1575.0,-61.0,-4.935275080906148
1752727945,1479078465,EVT-0016,1046.0,1109.0,1090.0,913.0,240.0,22.94455066921606
1815807585,1838439200,EVT-0016,2560.0,3669.0,2723.0,3449.0,383.0,14.960937499999998
1844747141,1377426493,EVT-0016,1257.0,1930.0,1350.0,1559.0,464.0,36.913285600636435
1009179924,1300832031,EVT-0017,981.0,1541.0,951.0,1262.0,249.0,25.382262996941897
1117854327,1703230064,EVT-0017,261.0,355.0,267.0,253.0,108.0,41.37931034482759
1138281740,1547660377,EVT-0017,1060.0,1601.0,1124.0,1262.0,403.0,38.0188679245283
1251567115,1333393084,EVT-0017,867.0,1130.0,935.0,1227.0,-29.0,-3.3448673587081887
1271463741,1233281843,EVT-0017,662.0,721.0,641.0,647.0,53.0,8.006042296072508
1299418347,1350739367,EVT-0017,789.0,911.0,826.0,841.0,107.0,13.561470215462613
1341556789,1361620622,EVT-0017,1382.0,1956.0,1334.0,1354.0,554.0,40.08683068017366
1364458855,1508064668,EVT-0017,645.0,789.0,651.0,657.0,138.0,21.3953488372093
1386514024,1933607412,EVT-0017,529.0,660.0,561.0,613.0,79.0,14.933837429111533
1409867656,1980975555,EVT-0017,388.0,477.0,400.0,452.0,37.0,9.536082474226804
1443520683,1880265578,EVT-0017,677.0,896.0,625.0,796.0,48.0,7.0901033973412115
1520551320,1524065749,EVT-0017,580.0,761.0,576.0,628.0,129.0,22.24137931034483
1567993435,1914644640,EVT-0017,608.0,782.0,602.0,664.0,112.0,18.421052631578945
1598661571,1418704015,EVT-0017,466.0,670.0,449.0,442.0,211.0,45.27896995708154
1631526641,1830884742,EVT-0017,1117.0,1403.0,1197.0,1244.0,239.0,21.396598030438675
1655321622,1779918477,EVT-0017,501.0,611.0,482.0,520.0,72.0,14.37125748502994
1686880901,1847794991,EVT-0017,451.0,488.0,429.0,363.0,103.0,22.838137472283815
1707435529,1621199177,EVT-0017,638.0,831.0,698.0,787.0,104.0,16.30094043887147
1719186219,1205576824,EVT-0017,717.0,880.0,772.0,804.0,131.0,18.270571827057182
1760628762,1750236147,EVT-0017,841.0,1192.0,902.0,1318.0,-65.0,-7.728894173602854
1762664088,1977228745,EVT-0017,607.0,666.0,607.0,703.0,-37.0,-6.095551894563426
1806103952,1185877283,EVT-0017,1082.0,1357.0,1116.0,1271.0,120.0,11.090573012939002
1898803444,1156754057,EVT-0017,913.0,1353.0,977.0,914.0,503.0,55.09309967141293
1934829601,1279255164,EVT-0017,784.0,1027.0,852.0,952.0,143.0,18.239795918367346
1065091666,1827318308,EVT-0018,1137.0,1281.0,1153.0,1473.0,-176.0,-15.479331574318381
1137408567,1657025858,EVT-0018,2485.0,3190.0,2469.0,2846.0,328.0,13.199195171026156
1330156328,1999506508,EVT-0018,1195.0,1409.0,1205.0,1448.0,-29.0,-2.426778242677824
1497642888,1708639657,EVT-0018,1199.0,1186.0,1123.0,1129.0,-19.0,-1.58465387823186
1666389063,1225504491,EVT-0018,683.0,734.0,735.0,771.0,15.0,2.1961932650073206
1706645516,1508064668,EVT-0018,1022.0,1217.0,959.0,883.0,271.0,26.516634050880626
1002145427,1877046932,EVT-0019,2477.0,3726.0,2382.0,2746.0,885.0,35.728704077513115
1018018261,1665478461,EVT-0019,2157.0,2985.0,2192.0,2959.0,61.0,2.8280018544274457
1102089657,1473494189,EVT-0019,1050.0,1060.0,976.0,1003.0,-17.0,-1.6190476190476188
1124890801,1316743925,EVT-0019,3058.0,3470.0,2967.0,4193.0,-814.0,-26.618705035971225
1133130363,1058325303,EVT-0019,1784.0,2306.0,1696.0,1764.0,454.0,25.448430493273545
1251567115,1275443434,EVT-0019,1286.0,1504.0,1332.0,1343.0,207.0,16.09642301710731
1264333323,1209566128,EVT-0019,2948.0,3828.0,2826.0,3544.0,162.0,5.495251017639077
1546151204,1261377760,EVT-0019,1467.0,1994.0,1506.0,1496.0,537.0,36.60531697341513
1621199177,1804484495,EVT-0019,942.0,1291.0,1005.0,1063.0,291.0,30.89171974522293
1639269087,1099946885,EVT-0019,1146.0,1497.0,1130.0,1173.0,308.0,26.876090750436298
1689916181,1714021262,EVT-0019,2346.0,3080.0,2402.0,2758.0,378.0,16.11253196930946
1057676243,1240393805,EVT-0020,987.0,1265.0,905.0,1220.0,-37.0,-3.7487335359675784
1060922949,1134089733,EVT-0020,840.0,1009.0,825.0,786.0,208.0,24.761904761904763
1133130363,1058325303,EVT-0020,1784.0,2306.0,1696.0,1764.0,454.0,25.448430493273545
1251567115,1540759788,EVT-0020,1286.0,1504.0,1371.0,1238.0,351.0,27.29393468118196
1321405205,1547660377,EVT-0020,970.0,1269.0,994.0,944.0,349.0,35.97938144329897
1356982086,1135650855,EVT-0020,1601.0,2127.0,1595.0,1672.0,449.0,28.044971892567144
1451968915,1181360912,EVT-0020,1263.0,1673.0,1230.0,1439.0,201.0,15.914489311163896
1456299035,1174238463,EVT-0020,1336.0,1432.0,1339.0,1480.0,-45.0,-3.3682634730538923
1523681389,1275443434,EVT-0020,1335.0,1776.0,1332.0,1343.0,430.0,32.20973782771536
1815807585,1838439200,EVT-0020,2560.0,3669.0,2723.0,3449.0,383.0,14.960937499999998
1844747141,1377426493,EVT-0020,1257.0,1930.0,1350.0,1559.0,464.0,36.913285600636435
1849328657,1488515010,EVT-0020,1489.0,1622.0,1550.0,1764.0,-81.0,-5.439892545332438
1924355757,1352216182,EVT-0020,1787.0,2431.0,1932.0,2302.0,274.0,15.332960268606602
1009179924,1300832031,EVT-0021,981.0,1541.0,951.0,1262.0,249.0,25.382262996941897
1202669523,1766730505,EVT-0021,1358.0,1601.0,1267.0,1513.0,-3.0,-0.22091310751104565
