treatment_hcp_id,control_hcp_id,method,event_id,event_date,target_ndc_category,specialty,region,pre_period_rx_baseline,control_pre_period_rx_baseline,is_matched,match_rank,distance_score,pool_relaxed
1040239976,1199976907,nearest_neighbor,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,357.0,247.83333333333334,True,2,2.009765231998165,False
1194203331,1075683551,nearest_neighbor,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southeast,287.3333333333333,247.0,True,1,1.3860421430893786,False
1246066447,1279507085,nearest_neighbor,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southwest,369.6666666666667,324.1666666666667,True,1,2.4534864911011987,False
1282327174,1109634414,nearest_neighbor,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,449.3333333333333,482.1666666666667,True,1,1.255943264102643,False
1393791409,1337606333,nearest_neighbor,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,283.0,172.16666666666666,True,1,1.7479627039603995,False
1519182780,1696806755,nearest_neighbor,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,171.5,203.33333333333334,True,1,1.5784645175541951,False
1595774286,1187084813,nearest_neighbor,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,386.8333333333333,295.1666666666667,True,1,1.5750925615301876,False
1616839134,1602648309,nearest_neighbor,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,616.0,499.5,True,1,1.3299556911756971,False
1690348028,1925493359,nearest_neighbor,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,233.66666666666666,92.66666666666667,True,2,3.085829280949872,False
1944079924,1647196991,nearest_neighbor,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southeast,444.6666666666667,467.0,True,1,1.8313021961189346,False
1993874985,1273912869,nearest_neighbor,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,420.3333333333333,291.6666666666667,True,1,1.3132610775351201,False
1040239976,1273912869,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Northeast,123.0,136.16666666666666,True,1,1.7958524280330093,False
1163199601,1921646299,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,neurology,Southwest,135.83333333333334,129.5,True,1,1.246674762348451,False
1246066447,1279507085,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Southwest,192.33333333333334,139.66666666666666,True,1,2.4583842333901345,False
1264333323,1209566128,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Northeast,179.33333333333334,186.66666666666666,True,1,0.9037519601919978,False
1334266016,1903798589,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southwest,222.66666666666666,198.83333333333334,True,1,0.49322542748529796,False
1335670091,1436505063,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,254.33333333333334,206.33333333333334,True,1,0.9636136815469099,False
1352578078,1113953065,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,pulmonology,Southeast,125.83333333333333,120.5,True,1,0.4467428136552785,False
1361521440,1768225918,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Midwest,98.16666666666667,175.5,True,1,1.361846281445624,False
1394609428,1012264374,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Southwest,300.8333333333333,242.0,True,1,2.2092182312941007,False
1413519731,1989798412,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southwest,428.6666666666667,376.5,True,1,1.4975955468298656,False
1425610817,1295857761,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southeast,53.333333333333336,85.66666666666667,True,1,0.24225367069377682,False
1456207657,1824172013,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,170.0,194.83333333333334,True,1,0.401294374413223,False
1511022174,1506356074,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,150.5,197.5,True,1,0.30680816443168013,False
1520551320,1847082322,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Northeast,169.16666666666666,102.16666666666667,True,1,1.5289929444761132,False
1592062677,1026926489,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,neurology,Southeast,167.33333333333334,215.5,True,1,1.480615035321867,False
1706991829,1801662945,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Midwest,256.1666666666667,156.16666666666666,True,1,1.203272487292112,False
1710163217,1860037419,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,cardiology,Northeast,165.16666666666666,131.0,True,1,0.5849723412191221,False
1717519684,1870612441,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Midwest,158.16666666666666,209.16666666666666,True,1,1.7592984275883687,False
1725623817,1166368237,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southwest,179.5,200.66666666666666,True,1,1.6866364552150839,False
1742100898,1381937048,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,50.833333333333336,61.5,True,1,1.237550622160453,False
1785764022,1511742359,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,oncology,Northeast,192.66666666666666,152.83333333333334,True,1,1.4758696546338903,False
1811081532,1242598583,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,oncology,Northeast,209.66666666666666,211.66666666666666,True,1,1.4613454683613618,False
1927430854,1389159553,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southeast,230.5,152.16666666666666,True,1,1.1576144714353327,False
1993367014,1967802350,nearest_neighbor,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,pulmonology,Midwest,150.33333333333334,112.5,True,1,0.6665362732034618,False
1050506165,1838576308,nearest_neighbor,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Southeast,226.83333333333334,163.83333333333334,True,1,1.7514225374341663,False
1139166684,1533003293,nearest_neighbor,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Midwest,206.16666666666666,227.33333333333334,True,1,1.5832681859477198,False
1198262952,1536141264,nearest_neighbor,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Northeast,515.3333333333334,332.5,True,1,1.403140566180321,False
1229022169,1423946593,nearest_neighbor,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,West,124.16666666666667,177.83333333333334,True,1,1.6730531174732113,False
1352578078,1113953065,nearest_neighbor,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Southeast,326.1666666666667,453.5,True,1,0.8677760888893141,False
1449331358,1798488478,nearest_neighbor,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Midwest,132.66666666666666,89.0,True,1,0.7877566512946476,False
1555906795,1967802350,nearest_neighbor,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Midwest,375.6666666666667,158.66666666666666,True,1,2.135647989011076,False
1648626962,1308498975,nearest_neighbor,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Southwest,299.6666666666667,231.33333333333334,True,1,1.5673694141111614,False
1761262934,1547244776,nearest_neighbor,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Northeast,234.16666666666666,140.5,True,1,0.886490348735166,False
1782077311,1916437647,nearest_neighbor,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Southeast,148.83333333333334,164.66666666666666,True,1,1.5038616184874374,False
