treatment_hcp_id,control_hcp_id,method,event_id,event_date,target_ndc_category,specialty,region,pre_period_rx_baseline,control_pre_period_rx_baseline,is_matched,match_rank,propensity_score,control_propensity_score,propensity_distance
1040239976,1435949049,psm,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,357.0,362.1666666666667,True,1,0.11673572596363498,0.12501505063712198,0.008279324673487007
1194203331,1643343233,psm,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southeast,287.3333333333333,261.6666666666667,True,1,0.14075364801085022,0.10439809387333536,0.03635555413751486
1246066447,,psm,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southwest,369.6666666666667,,False,,,,
1282327174,1775551348,psm,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,449.3333333333333,446.0,True,1,0.3473151855944472,0.336005786018465,0.011309399575982204
1393791409,1187084813,psm,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,283.0,295.1666666666667,True,1,0.26292806695213045,0.26960131730629394,0.006673250354163496
1519182780,1337606333,psm,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,171.5,172.16666666666666,True,1,0.20687783081382782,0.20718510868234974,0.00030727786852191574
1595774286,,psm,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,386.8333333333333,,False,,,,
1616839134,,psm,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,616.0,,False,,,,
1690348028,1390939977,psm,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,233.66666666666666,239.16666666666666,True,1,0.2369794213439336,0.23978290908616076,0.002803487742227162
1944079924,,psm,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southeast,444.6666666666667,,False,,,,
1993874985,,psm,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,420.3333333333333,,False,,,,
1040239976,1602648309,psm,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Northeast,123.0,125.33333333333333,True,1,0.07032786696832649,0.07019911657483999,0.0001287503934865042
1163199601,1081031506,psm,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,neurology,Southwest,135.83333333333334,134.66666666666666,True,1,0.05285737387662902,0.05248789757981836,0.0003694762968106599
1246066447,1892897319,psm,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Southwest,192.33333333333334,210.83333333333334,True,1,0.07488523345238862,0.07929445769411406,0.004409224241725435
1264333323,1099946885,psm,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Northeast,179.33333333333334,184.83333333333334,True,1,0.02443074532897059,0.024511752528173288,8.1007199202697e-05
1334266016,1812123887,psm,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southwest,222.66666666666666,225.0,True,1,0.08489969623949142,0.08670229202711173,0.0018025957876203064
1335670091,1566888198,psm,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,254.33333333333334,252.5,True,1,0.09615882325453605,0.096059709916808,9.911333772805175e-05
1352578078,1132792726,psm,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,pulmonology,Southeast,125.83333333333333,128.33333333333334,True,1,0.03223229706366081,0.031716604600170804,0.0005156924634900084
