treatment_hcp_id,control_hcp_id,method,event_id,event_date,target_ndc_category,specialty,region,pre_period_rx_baseline,control_pre_period_rx_baseline,is_matched,match_rank,control_specialty,treatment_city,control_city,treatment_experience_years,control_experience_years,rx_pct_diff,treatment_city_actual,control_city_actual
1040239976,,rule_based,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,357.0,,False,,,Northeast,,24,,,New York,
1194203331,,rule_based,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southeast,287.3333333333333,,False,,,Southeast,,5,,,Columbia,
1246066447,,rule_based,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southwest,369.6666666666667,,False,,,Southwest,,28,,,Mesa,
1282327174,,rule_based,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,449.3333333333333,,False,,,Northeast,,18,,,Newark,
1393791409,,rule_based,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,283.0,,False,,,Midwest,,25,,,Rockford,
1519182780,,rule_based,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,171.5,,False,,,Midwest,,11,,,Milwaukee,
1595774286,,rule_based,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,386.8333333333333,,False,,,Midwest,,13,,,Peoria,
1616839134,,rule_based,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,616.0,,False,,,Northeast,,10,,,New Haven,
1690348028,,rule_based,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Midwest,233.66666666666666,,False,,,Midwest,,39,,,Fort Wayne,
1944079924,,rule_based,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Southeast,444.6666666666667,,False,,,Southeast,,14,,,Columbia,
1993874985,,rule_based,EVT-0001,2023-07-06,RHEUM_JAK_ORAL,rheumatology,Northeast,420.3333333333333,,False,,,Northeast,,23,,,Boston,
1040239976,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Northeast,123.0,,False,,,Northeast,,24,,,New York,
1163199601,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,neurology,Southwest,135.83333333333334,,False,,,Southwest,,17,,,Oklahoma City,
1246066447,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Southwest,192.33333333333334,,False,,,Southwest,,28,,,Mesa,
1264333323,1209566128,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Northeast,179.33333333333334,186.66666666666666,True,1,primary care,Northeast,Northeast,12,15,4.089219330855007,New York,Stamford
1334266016,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southwest,222.66666666666666,,False,,,Southwest,,20,,,Phoenix,
1335670091,1848624494,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,254.33333333333334,230.66666666666666,True,1,primary care,Midwest,Midwest,11,14,9.30537352555702,Indianapolis,Kansas City
1352578078,1831183839,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,pulmonology,Southeast,125.83333333333333,123.33333333333333,True,1,pulmonology,Southeast,Southeast,14,12,1.9867549668874174,Huntsville,Durham
1361521440,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Midwest,98.16666666666667,,False,,,Midwest,,17,,,Green Bay,
1394609428,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Southwest,300.8333333333333,,False,,,Southwest,,4,,,Reno,
1413519731,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southwest,428.6666666666667,,False,,,Southwest,,13,,,Austin,
1425610817,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southeast,53.333333333333336,,False,,,Southeast,,3,,,Huntsville,
1456207657,1216575070,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,170.0,166.83333333333334,True,1,primary care,Midwest,Midwest,10,11,1.8627450980392102,Minneapolis,Columbia
1511022174,1297280590,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,150.5,146.0,True,1,primary care,Midwest,Midwest,15,14,2.990033222591362,Lansing,Springfield
1520551320,1598661571,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,rheumatology,Northeast,169.16666666666666,182.5,True,1,rheumatology,Northeast,Northeast,13,10,7.881773399014784,Syracuse,Stamford
1592062677,1204261733,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,neurology,Southeast,167.33333333333334,183.83333333333334,True,1,neurology,Southeast,Southeast,9,7,9.860557768924302,Nashville,Chattanooga
1706991829,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Midwest,256.1666666666667,,False,,,Midwest,,19,,,Milwaukee,
1710163217,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,cardiology,Northeast,165.16666666666666,,False,,,Northeast,,11,,,Albany,
1717519684,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,endocrinology,Midwest,158.16666666666666,,False,,,Midwest,,22,,,Springfield,
1725623817,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southwest,179.5,,False,,,Southwest,,9,,,Las Vegas,
1742100898,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Midwest,50.833333333333336,,False,,,Midwest,,12,,,St. Paul,
1785764022,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,oncology,Northeast,192.66666666666666,,False,,,Northeast,,17,,,Bangor,
1811081532,1242598583,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,oncology,Northeast,209.66666666666666,211.66666666666666,True,1,oncology,Northeast,Northeast,12,14,0.9538950715421305,Philadelphia,Worcester
1927430854,1838439200,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,primary care,Southeast,230.5,225.83333333333334,True,1,primary care,Southeast,Southeast,13,16,2.024584237165578,Richmond,Greenville
1993367014,,rule_based,EVT-0002,2023-07-09,CV_ANTICOAG_ORAL,pulmonology,Midwest,150.33333333333334,,False,,,Midwest,,9,,,Ann Arbor,
1050506165,1782341873,rule_based,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Southeast,226.83333333333334,235.83333333333334,True,1,pulmonology,Southeast,Southeast,6,5,3.9676708302718584,Raleigh,Charlottesville
1139166684,,rule_based,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Midwest,206.16666666666666,,False,,,Midwest,,5,,,Green Bay,
1198262952,,rule_based,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Northeast,515.3333333333334,,False,,,Northeast,,5,,,Hartford,
1229022169,1731313338,rule_based,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,West,124.16666666666667,120.83333333333333,True,1,pulmonology,West,West,13,11,2.6845637583892694,Denver,Palo Alto
1352578078,1293528836,rule_based,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Southeast,326.1666666666667,318.3333333333333,True,1,pulmonology,Southeast,Southeast,14,17,2.4016351558508036,Huntsville,Richmond
1449331358,1474100561,rule_based,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Midwest,132.66666666666666,140.5,True,1,pulmonology,Midwest,Midwest,9,11,5.9045226130653345,Lansing,Kansas City
1555906795,,rule_based,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Midwest,375.6666666666667,,False,,,Midwest,,13,,,Green Bay,
1648626962,,rule_based,EVT-0003,2023-07-10,PULM_ICS_LABA_INH,pulmonology,Southwest,299.6666666666667,,False,,,Southwest,,16,,,Tulsa,
