event_id,event_name,event_date,speaker_hcp_id,specialty_focus,region,program_spend,target_ndc_category,venue_type,max_capacity,attendee_count,event_year,event_month,attendance_rate
EVT-0001,Oral JAK Inhibition in Inflammatory Arthritis - Lansing Regional Dinner Program,2023-07-06,1546587092,rheumatology,Midwest,6700.0,RHEUM_JAK_ORAL,virtual,122,11,2023,2023-07,0.09016393442622951
EVT-0002,Anticoagulation Across Comorbid Populations - Peoria Case-Based Forum,2023-07-09,1942374996,oncology,Midwest,34020.0,CV_ANTICOAG_ORAL,in-person,64,24,2023,2023-07,0.375
EVT-0003,Inhaled Maintenance Therapy in COPD & Asthma - Chattanooga Case-Based Forum,2023-07-10,1707268052,pulmonology,Southeast,23680.0,PULM_ICS_LABA_INH,in-person,35,13,2023,2023-07,0.37142857142857144
EVT-0004,Basal Insulin Optimization - Portland Case-Based Forum,2023-07-14,1693072195,endocrinology,Northeast,15250.0,ENDO_BASAL_INSULIN,in-person,48,15,2023,2023-07,0.3125
EVT-0005,Incretin-Based Therapy: Cardiometabolic Evidence - Colorado Springs Speaker Program,2023-07-17,1600833937,oncology,West,31940.0,METABOLIC_GLP1_INJ,in-person,37,20,2023,2023-07,0.5405405405405406
EVT-0006,Targeted Oral Therapy in Advanced Disease - New Haven Advisory Roundtable,2023-07-18,1043802820,oncology,Northeast,10880.0,ONC_TARGETED_ORAL,virtual,92,5,2023,2023-07,0.05434782608695652
EVT-0007,Guideline-Directed Therapy in Heart Failure - Portland Clinical Update Series,2023-07-28,1693013389,cardiology,Northeast,21490.0,CARD_HF_ARNI,in-person,31,16,2023,2023-07,0.5161290322580645
EVT-0008,CGRP Pathway Inhibition in Migraine - Grand Rapids Speaker Program,2023-07-30,1872102060,neurology,Midwest,28620.0,NEURO_MIGRAINE_CGRP,in-person,46,9,2023,2023-07,0.1956521739130435
EVT-0009,Incretin-Based Therapy: Cardiometabolic Evidence - Portland Peer-to-Peer Exchange,2023-08-01,1788800922,primary care,Northeast,24380.0,METABOLIC_GLP1_INJ,in-person,33,33,2023,2023-08,1.0
EVT-0010,Anticoagulation Across Comorbid Populations - Stamford Speaker Program,2023-08-06,1182422455,cardiology,Northeast,20040.0,CV_ANTICOAG_ORAL,in-person,25,21,2023,2023-08,0.84
EVT-0011,Anticoagulation Across Comorbid Populations - Portland Clinical Update Series,2023-08-08,1134195944,cardiology,Northeast,54410.0,CV_ANTICOAG_ORAL,in-person,63,28,2023,2023-08,0.4444444444444444
EVT-0012,Guideline-Directed Therapy in Heart Failure - Norfolk Case-Based Forum,2023-08-10,1611741350,cardiology,Southeast,36540.0,CARD_HF_ARNI,in-person,41,16,2023,2023-08,0.3902439024390244
EVT-0013,Resistant Hypertension in Primary Care - Detroit Clinical Update Series,2023-08-11,1909167417,primary care,Midwest,12420.0,PC_ANTIHYPERTENSIVE,in-person,26,21,2023,2023-08,0.8076923076923077
EVT-0014,Guideline-Directed Therapy in Heart Failure - New Haven Peer-to-Peer Exchange,2023-09-01,1968340152,cardiology,Northeast,4750.0,CARD_HF_ARNI,virtual,125,16,2023,2023-09,0.128
EVT-0015,Resistant Hypertension in Primary Care - Jacksonville Peer-to-Peer Exchange,2023-09-02,1753387863,primary care,Southeast,25810.0,PC_ANTIHYPERTENSIVE,in-person,58,34,2023,2023-09,0.5862068965517241
EVT-0016,Resistant Hypertension in Primary Care - Eugene Speaker Program,2023-09-02,1120344282,primary care,West,15800.0,PC_ANTIHYPERTENSIVE,in-person,63,24,2023,2023-09,0.38095238095238093
EVT-0017,Incretin-Based Therapy: Cardiometabolic Evidence - Eugene Advisory Roundtable,2023-09-09,1114926011,cardiology,West,3990.0,METABOLIC_GLP1_INJ,virtual,95,44,2023,2023-09,0.4631578947368421
EVT-0018,Basal Insulin Optimization - Winston-Salem Speaker Program,2023-09-11,1912301342,endocrinology,Southeast,18840.0,ENDO_BASAL_INSULIN,in-person,41,14,2023,2023-09,0.34146341463414637
EVT-0019,Resistant Hypertension in Primary Care - Portland Advisory Roundtable,2023-09-11,1788800922,primary care,Northeast,23380.0,PC_ANTIHYPERTENSIVE,in-person,39,33,2023,2023-09,0.8461538461538461
EVT-0020,Resistant Hypertension in Primary Care - Minneapolis Peer-to-Peer Exchange,2023-09-12,1479680351,primary care,Midwest,16850.0,PC_ANTIHYPERTENSIVE,in-person,26,26,2023,2023-09,1.0
EVT-0021,Incretin-Based Therapy: Cardiometabolic Evidence - Boulder Clinical Update Series,2023-09-13,1405644208,neurology,West,32300.0,METABOLIC_GLP1_INJ,in-person,29,17,2023,2023-09,0.5862068965517241
EVT-0022,Anticoagulation Across Comorbid Populations - Albany Case-Based Forum,2023-09-19,1231312657,neurology,Northeast,74200.0,CV_ANTICOAG_ORAL,in-person,44,26,2023,2023-09,0.5909090909090909
